,Title,Genre,Top 3 Protagonists,Male Counts,Female Counts,Unisex Counts,Male Percent,Female Percent,Unisex Percent,F-F Convs,F-U Convs,Contain Male,Dont Contain Male
137,"Talented-Mr.-Ripley,-The",Mystery,"['m', 'm', 'f']",545,123,69,0.42857142857142855,0.35714285714285715,0.21428571428571427,0,1,1,0
138,Color-of-Night,Mystery,"['u', 'f', 'f']",336,276,489,0.3888888888888889,0.3333333333333333,0.2777777777777778,5,20,0,5
139,Lone-Star,Crime,"['u', 'u', 'm']",410,177,362,0.5714285714285714,0.2857142857142857,0.14285714285714285,1,6,1,4
140,Next,Sci-Fi,"['u', 'f', 'm']",179,161,238,0.6428571428571429,0.21428571428571427,0.14285714285714285,0,0,0,0
141,"Lord-of-the-Rings-Fellowship-of-the-Ring,-The",Action,"['u', 'u', 'f']",3,11,101,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,0,0,0
142,"Clockwork-Orange,-A",Drama,[],0,0,0,0.0,0.0,0.0,0,0,0,0
143,Starman,Drama,"['f', 'f', 'm']",77,560,14,0.7,0.2,0.1,53,0,30,23
144,Star-Wars-The-Force-Awakens,Sci-Fi,"['m', 'u', 'f']",163,31,162,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,0,0,0
145,What-Lies-Beneath,Mystery,"['u', 'm', 'u']",253,37,522,0.5,0.2,0.3,0,3,0,0
146,Collateral,Action,[],0,0,0,0.0,0.0,0.0,0,0,0,0
147,Three-Kings-(Spoils-of-War),Action,"['m', 'm', 'm']",220,0,0,1.0,0.0,0.0,0,0,0,0
148,Kill-Bill-Volume-1-&-2,Drama,"['u', 'm', 'f']",84,103,174,0.42857142857142855,0.38095238095238093,0.19047619047619047,0,4,0,0
149,Birthday-Girl,Crime,"['m', 'f', 'm']",359,168,6,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0,0,0
